day,hour,minute,sec,round(csec),prn,Lvec,signal level,phase hist
0.0,0.0,3.0,11,69.0,2,0,-0.3821991451515935,-0.0028449393385176812
0.0,0.0,3.0,11,69.0,2,1,-0.613135427150404,-0.0012057557517715638
0.0,0.0,3.0,11,70.0,2,0,-0.3825794173667867,-0.002850616119168712
0.0,0.0,3.0,11,70.0,2,1,-0.6140002026403458,-0.0012092872528627469
0.0,0.0,3.0,11,71.0,2,0,-0.38307653552493615,-0.0028563973741893207
0.0,0.0,3.0,11,71.0,2,1,-0.6148738463698703,-0.0012133376910667627
0.0,0.0,3.0,11,72.0,2,0,-0.38374130599165546,-0.0028625968993188705
0.0,0.0,3.0,11,72.0,2,1,-0.6157689326327893,-0.001217276431294636
0.0,0.0,3.0,11,73.0,2,0,-0.3844645762979161,-0.002869166287320182
0.0,0.0,3.0,11,73.0,2,1,-0.6166679072371246,-0.0012207460444356665
0.0,0.0,3.0,11,74.0,2,0,-0.3851722449881003,-0.002875764086846871
0.0,0.0,3.0,11,74.0,2,1,-0.6175172572869656,-0.001223716040148614
0.0,0.0,3.0,11,75.0,2,0,-0.38584546589698016,-0.002882276745993999
0.0,0.0,3.0,11,75.0,2,1,-0.6183399141491953,-0.001226257506029216
0.0,0.0,3.0,11,76.0,2,0,-0.3864947988944762,-0.0028889600595932265
0.0,0.0,3.0,11,76.0,2,1,-0.6192376714298509,-0.0012286074205908697
0.0,0.0,3.0,11,77.0,2,0,-0.3871215930232761,-0.0028961904281891156
0.0,0.0,3.0,11,77.0,2,1,-0.6201922676969591,-0.0012308465666553913
0.0,0.0,3.0,11,78.0,2,0,-0.38770346192703425,-0.0029040616163073804
0.0,0.0,3.0,11,78.0,2,1,-0.6211076134714396,-0.0012330544873014344
0.0,0.0,3.0,11,79.0,2,0,-0.388169120031234,-0.002912147852132634
0.0,0.0,3.0,11,79.0,2,1,-0.621923897061632,-0.001234919375479782
0.0,0.0,3.0,11,80.0,2,0,-0.38849423499276176,-0.002920095459800111
0.0,0.0,3.0,11,80.0,2,1,-0.6225727540702644,-0.0012365101010576994
0.0,0.0,3.0,11,81.0,2,0,-0.38873840957189104,-0.0029279126644897713
0.0,0.0,3.0,11,81.0,2,1,-0.6230564878336597,-0.0012385375806793916
0.0,0.0,3.0,11,82.0,2,0,-0.38889809417590676,-0.0029356391581346463
0.0,0.0,3.0,11,82.0,2,1,-0.6234596490196935,-0.0012408726450064958
0.0,0.0,3.0,11,83.0,2,0,-0.3890339549627607,-0.0029433689670091043
0.0,0.0,3.0,11,83.0,2,1,-0.6238689884156954,-0.001243253428783212
0.0,0.0,3.0,11,84.0,2,0,-0.3892376313114124,-0.0029510551794675573
0.0,0.0,3.0,11,84.0,2,1,-0.6243878096777403,-0.001245477087978598
0.0,0.0,3.0,11,85.0,2,0,-0.38947405769444227,-0.0029584277838278507
0.0,0.0,3.0,11,85.0,2,1,-0.625048930023548,-0.0012472510367645118
0.0,0.0,3.0,11,86.0,2,0,-0.38962954038293024,-0.002965485632623205
0.0,0.0,3.0,11,86.0,2,1,-0.6258093144061366,-0.0012489546082443386
0.0,0.0,3.0,11,87.0,2,0,-0.3897000431632433,-0.0029723867775774617
0.0,0.0,3.0,11,87.0,2,1,-0.626608501751992,-0.0012506070361320138
0.0,0.0,3.0,11,88.0,2,0,-0.3897578360807584,-0.0029789640869552587
0.0,0.0,3.0,11,88.0,2,1,-0.627388906124498,-0.0012519778900985353
0.0,0.0,3.0,11,89.0,2,0,-0.3897523400403273,-0.0029849949758226145
0.0,0.0,3.0,11,89.0,2,1,-0.6281740495448419,-0.001253135137165873
0.0,0.0,3.0,11,90.0,2,0,-0.3896689649325894,-0.0029906835263100685
0.0,0.0,3.0,11,90.0,2,1,-0.6289599314993259,-0.0012543449768832686
0.0,0.0,3.0,11,91.0,2,0,-0.389609801687128,-0.002996231335470958
0.0,0.0,3.0,11,91.0,2,1,-0.6297323383615328,-0.0012560966693349548
